Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Biosamples,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Subjects / Donors,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Files / Data Types,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
In Chemico / Biomaterials,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Assays / Conditions,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Ontologies / Standards,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Imaging Metadata,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Pharmacokinetics / ADMET,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
Analytical Models,,,,FALSE,,,,NYU Landscape/NAM Data Types,,,,,,
