Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Level 1,Raw or minimally processed data,,,,,,,,,,,,MC2/Processing Level
Level 2,"Data that has undergone a basic or initial processing step, like quality control, alignment, or stitching. Typically derived from Level 1 files.",,,,,,,,,,,,MC2/Processing Level
Level 3,"Files that contain summary counts, coverage files, or other processed representations of the data. Typically derived from Level 2 files.",,,,,,,,,,,,MC2/Processing Level
Level 4,"""Files that are processed through multiple steps or contain descriptors of the data. Typically derived from Level 2, Level 3, and/or auxiliary files.""",,,,,,,,,,,,MC2/Processing Level
Auxiliary,"Additional files that contain information or experimental details, but do not contain data or processed derivatives",,,,,,,,,,,,MC2/Processing Level
Not Applicable,Files that fall outside of the level structure or are uploaded as a package.,,,,,,,,,,,,MC2/Processing Level
Metadata,Files that are or will be stored and shared as metadata.,,,,,,,,,,,,MC2/Processing Level
