Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
"Social Responsiveness Scale, Second Edition",,,,,,,,,,,,,NF Landscape/assay
Von Frey test,,,,,,,,,,,,,NF Landscape/assay
actigraphy,,,,,,,,,,,,,NF Landscape/assay
active avoidance learning behavior assay,,,,,,,,,,,,,NF Landscape/assay
auditory brainstem response,,,,,,,,,,,,,NF Landscape/assay
blood chemistry measurement,,,,,,,,,,,,,NF Landscape/assay
body size trait measurement,,,,,,,,,,,,,NF Landscape/assay
cNF-Skindex,,,,,,,,,,,,,NF Landscape/assay
clinical data,,,,,,,,,,,,,NF Landscape/assay
cognitive assessment,,,,,,,,,,,,,NF Landscape/assay
contextual conditioning behavior assay,,,,,,,,,,,,,NF Landscape/assay
distortion product otoacoustic emissions,,,,,,,,,,,,,NF Landscape/assay
elevated plus maze test,,,,,,,,,,,,,NF Landscape/assay
feeding assay,,,,,,,,,,,,,NF Landscape/assay
gait measurement,,,,,,,,,,,,,NF Landscape/assay
genotyping,,,,,,,,,,,,,NF Landscape/assay
grip strength,,,,,,,,,,,,,NF Landscape/assay
hand-held dynamometry,,,,,,,,,,,,,NF Landscape/assay
metabolic screening,,,,,,,,,,,,,NF Landscape/assay
n-back task,,,,,,,,,,,,,NF Landscape/assay
neuropsychological assessment,,,,,,,,,,,,,NF Landscape/assay
novelty response behavior assay,,,,,,,,,,,,,NF Landscape/assay
open field test,,,,,,,,,,,,,NF Landscape/assay
optokinetic reflex assay,,,,,,,,,,,,,NF Landscape/assay
pattern electroretinogram,,,,,,,,,,,,,NF Landscape/assay
polysomnography,,,,,,,,,,,,,NF Landscape/assay
pure tone average,,,,,,,,,,,,,NF Landscape/assay
questionnaire,,,,,,,,,,,,,NF Landscape/assay
rotarod performance test,,,,,,,,,,,,,NF Landscape/assay
scale,,,,,,,,,,,,,NF Landscape/assay
six-minute walk test,,,,,,,,,,,,,NF Landscape/assay
weight,,,,,,,,,,,,,NF Landscape/assay
survival,,,,,,,,,,,,,NF Landscape/assay
word recognition score,,,,,,,,,,,,,NF Landscape/assay
2D AlamarBlue absorbance,,,,,,,,,,,,,NF Landscape/assay
2D AlamarBlue fluorescence,,,,,,,,,,,,,NF Landscape/assay
3D microtissue viability,,,,,,,,,,,,,NF Landscape/assay
ATPase activity assay,,,,,,,,,,,,,NF Landscape/assay
BrdU proliferation assay,,,,,,,,,,,,,NF Landscape/assay
ELISA,,,,,,,,,,,,,NF Landscape/assay
EdU proliferation assay,,,,,,,,,,,,,NF Landscape/assay
FLIPR high-throughput cellular screening,,,,,,,,,,,,,NF Landscape/assay
HPLC,,,,,,,,,,,,,NF Landscape/assay
Migration Assay,,,,,,,,,,,,,NF Landscape/assay
STR profile,,,,,,,,,,,,,NF Landscape/assay
TIDE,,,,,,,,,,,,,NF Landscape/assay
TriKinetics activity monitoring,,,,,,,,,,,,,NF Landscape/assay
array,,,,,,,,,,,,,NF Landscape/assay
blue native PAGE,,,,,,,,,,,,,NF Landscape/assay
SDS-PAGE,,,,,,,,,,,,,NF Landscape/assay
bone histomorphometry,,,,,,,,,,,,,NF Landscape/assay
cAMP-Glo Max Assay,,,,,,,,,,,,,NF Landscape/assay
calcium retention capacity assay,,,,,,,,,,,,,NF Landscape/assay
cell competition,,,,,,,,,,,,,NF Landscape/assay
cell count,,,,,,,,,,,,,NF Landscape/assay
cell painting,,,,,,,,,,,,,NF Landscape/assay
cell permeability assay,,,,,,,,,,,,,NF Landscape/assay
